,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,Kehoe's,53.3411866,-6.2594946,€5.20,Colin O'Callaghan,17/09/2017,Colin O'Callaghan,17/09/2017,,,,1,,,,,,,,,,
,Dawson Lounge,53.3397572,-6.2588713,€5.20,Shane Harding,20/10/2017,Shane Harding,20/10/2017,1,,,,,1,,,1,,,,,
,The Swan Bar (Lynch),53.3396163,-6.2657046,€5.20,Colin O'Callaghan,21/10/2017,Colin O'Callaghan,21/10/2017,1,,,1,,,,,,,,,,
,James Toner,53.3377289,-6.2524501,€5.20,Bill O'Clerigh,08/09/2017,Katie O'Neill,13/10/2017,,,,,1,,1,,,,,,,
,The Bath,53.3373906,-6.2321754,€5.20,Robbie Mc Guinness,25/08/2017,Robbie Mc Guinness,25/08/2017,1,,1,1,,,,,,,,,,
,The Old Spot (The Lansdowne),53.3373467,-6.2332346,€5.20,Robbie Mc Guinness,25/08/2017,Robbie Mc Guinness,25/08/2017,1,,1,1,,,,,,,,,,
,Whelan's,53.3365488,-6.2658468,€5.20,Emmet Sheerin,02/11/2017,Emmet Sheerin,02/11/2017,,,,,,1,,,,,,,,
,East Side Tavern,53.336129,-6.2568614,€5.20,Robbie Mc Guinness,21/10/2017,Robbie Mc Guinness,21/10/2017,1,,,1,,,,,,,,,,
,Smyth's,53.3347803,-6.2434362,€5.20,Daniel Purdy,24/08/2017,Marc O'Sullivan,17/11/2017,1,,1,,,,,,,,,,,
,The Waterloo,53.3334536,-6.2433195,€5.20,Marc O'Sullivan,8/12/2017,Marc O'Sullivan,,,,,,,,,,,1,,,,
,Searson's,53.3333315,-6.2430277,€5.20,Marc O'Sullivan,02/11/2017,Marc O'Sullivan,02/11/2017,,,,,,,,,,1,,,,
,The Bridge,53.3292976,-6.2319611,€5.20,Daniel Purdy,06/09/2017,Daniel Purdy,06/09/2017,,,1,,,,,,,,,,,
,Mary Mac's,53.3290702,-6.2304573,€5.20,Robbie Mc Guinness,23/09/2017,Marc O'Sullivan,09/11/2017,1,,,,,,,,,1,,,,
,Martin B. Slattery,53.3221522,-6.2659123,€5.20,James Bingham,1/12/2017,James Bingham,01/12/2017,1,1,,,,,,,,,,,,
,Ferryman,53.3460078,-6.240693,€5.30,Other,28/10/2017,Other,28/10/2017,,,,,,,,,,,,,,
,Foggy Dew,53.3444504,-6.2634772,€5.30,Emmet Sheerin,21/09/2017,Colin O'Callaghan,18/10/2017,,,,1,,1,,,,,,,,
,The Bankers,53.3439718,-6.2625276,€5.30,Robbie Mc Guinness,03/11/2017,Robbie Mc Guinness,03/11/2017,1,1,,,,,,,,,,,,
,O'Neills,53.3438425,-6.2607432,€5.30,Colin O'Callaghan,24/11/2017,Colin O'Callaghan,24/11/2017,1,,,1,,,,,,,,,,
,Hogan's Bar,53.3419933,-6.2646102,€5.30,James Bingham,29/07/2017,Robbie Mc Guinness,16/09/2017,1,1,,1,,,,,,,,,,
,P Macs,53.3412009,-6.2642908,€5.30,Bill O'Clerigh,21/07/2017,Robbie Mc Guinness,28/10/2017,1,,,,1,,,1,,,,,,
,Neary's,53.3406572,-6.2612015,€5.30,Bill O'Clerigh,08/09/2017,Katie O'Neill,17/10/2017,,,,,1,,,,,,,,,
,Doheny and Nesbitt,53.3380755,-6.2528418,€5.30,James Bingham,17/08/2017,Marc O'Sullivan,26/11/2017,1,1,,,,,,,,1,,,,
,Crowe's Pub,53.3291016,-6.2305416,€5.30,Daniel Purdy,29/9/2017,Daniel Purdy,29/09/2017,,,1,,,,,,,,,,,
,Paddy Cullen,53.3290306,-6.2303575,€5.30,Marc O'Sullivan,09/11/2017,Marc O'Sullivan,09/11/2017,,,,,,,,,,1,,,,
,Merrion Inn,53.318301,-6.211162,€5.30,Daniel Purdy,30/11/2017,Daniel Purdy,30/11/2017,,,1,,,,,,,,,,,
,Citywest Hotel Swift Bar,53.285815,-6.446199,€5.35,James Bingham,27/10/2017,James Bingham,27/10/2017,,,,,,,,,,,,,,
,Slattery's,53.3482745,-6.2689364,€5.40,James Bingham,27/10/2017,James Bingham,27/10/2017,,1,,,,,,,,,,,,
,T.P.Smiths,53.347476,-6.265962,€5.40,James Bingham,19/09/2017,James Bingham,19/09/2017,,1,,,,,,,,,,,,
,J.W. Sweetman Craft Brewery,53.3469782,-6.2582006,€5.40,Robbie Mc Guinness,21/09/2017,James Bingham,9/12/2017,1,1,,,,,,,,,,,,
,Mulligan and Haines,53.3440934,-6.2629657,€5.40,Robbie Mc Guinness,07/10/2017,Robbie Mc Guinness,07/10/2017,1,,,,,,,,,,,,,
,Arthur's,53.3430716,-6.2816907,€5.40,Colin O'Callaghan,07/10/2017,Colin O'Callaghan,07/10/2017,,,,1,,,,,,,,,,
,The Long Hall,53.3418339,-6.2653944,€5.40,Robbie Mc Guinness,17/08/2017,Robbie Mc Guinness,17/08/2017,1,1,,,,,,,,,,,,
,The Hairy Lemon,53.3412574,-6.2638352,€5.40,Sean O'Sullivan,28/10/17,Sean O'Sullivan,28/10/2017,1,,,,,,,1,,1,,,,
,Bar Rua,53.3410488,-6.2624558,€5.40,James Bingham,20/10/2017,Robbie Mc Guinness,18/11/2017,2,1,,,,,,,,,,,,
,The Square Ball,53.340843,-6.244782,€5.40,Robbie Mc Guinness,18/08/2017,Robbie Mc Guinness,29/09/2017,2,,,1,,,,,,,,,,
,The Jar,53.3369586,-6.2657049,€5.40,Shane Harding,18/11/2017,Shane Harding,18/11/2017,,,,,,,,,1,,,,,
,The Harbourmaster,53.3497415,-6.2490911,€5.45,Marc O'Sullivan,04/12/2017,Marc O'Sullivan,04/12/2017,,,,,,,,,,1,,,,
,The Back Page,53.3585347,-6.273159,€5.50,Colin O'Callaghan,9/12/2017,Colin O'Callaghan,9/12/2017,,,,1,,,,,,,,,,
,McGowan's,53.356564,-6.273879,€5.50,Other,10/11/2017,Shane Harding,10/11/2017,1,,,1,,,,,1,,,,,
,The Living Room,53.352308,-6.260412,€5.50,Marc O'Sullivan,09/11/2017,Marc O'Sullivan,09/11/2017,,,,,,,,,,1,,,,
,Parnell Heritage Pub,53.3521853,-6.2620514,€5.50,Colin O'Callaghan,9/12/2017,Colin O'Callaghan,9/12/2017,,,,1,,,,,,,,,,
,Wigwam,53.3480043,-6.2621526,€5.50,Emmet Sheerin,16/09/2017,Emmet Sheerin,16/09/2017,,,,,,1,,,,,,,,
,Adelphi,53.3479699,-6.2624624,€5.50,Sean O'Sullivan,29/09/2017,Sean O'Sullivan,29/09/2017,,,,,,,,1,,,,,,
,4 Dame Lane,53.3437834,-6.2629135,€5.50,Robbie Mc Guinness,03/11/2017,Robbie Mc Guinness,03/11/2017,1,1,,,,,,,,,,,,
,Dakota,53.342663,-6.262359,€5.50,James Bingham,23/09/2017,James Bingham,23/09/2017,,1,,,,,,,,,,,,
,The Rag Trader,53.3426488,-6.262991,€5.50,Simon Corbett,9/12/2017,Simon Corbett,9/12/2017,,,,,,,,,,,1,,,
,Nolita,53.3424409,-6.2647473,€5.50,James Bingham,3/11/2017,James Bingham,03/11/2017,1,1,,,,,,,,,,,,
,L'Gueuleton,53.34197,-6.264324,€5.50,Robbie Mc Guinness,21/10/2017,Robbie Mc Guinness,21/10/2017,1,1,,,1,,,,,,,,,
,The Capitol Lounge,53.3412997,-6.2653194,€5.50,,,,,,,,,,,,,,,,,,
,Cellar Bar,53.3387556,-6.2526088,€5.50,Other,9/12/2017,Other,9/12/2017,,,,,,,,,,,,,,
,The Gasworks,53.3379836,-6.2375013,€5.50,Daniel Purdy,03/09/2017,Daniel Purdy,03/09/2017,,,1,,,,,,,,,,,
,Xico,53.337863,-6.2527928,€5.50,Robbie Mc Guinness,08/09/2017,Robbie Mc Guinness,08/09/2017,1,,,,,,,,,,,,,
,D-Two,53.3343859,-6.2629409,€5.50,Marc O'Sullivan,9/12/2017,Marc O'Sullivan,9/12/2017,,,,,,,,,,1,,,,
,The Bernard Shaw,53.3317088,-6.2645036,€5.50,Robbie Mc Guinness,15/09/2017,Robbie Mc Guinness,11/11/2017,2,,,1,,,,,1,1,,,,
,Underground,53.34428,-6.265278,€5.60,Other,20/10/2017,Other,05/12/2017,,,,,,,,,,,,,,
